Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-12-25 14:50:40,false,"Mt Pleasant Running","5.32","608","01:00:04","135","164","3.0","152","191","11:17","7:54","675","668","0.94","0.0","0.0","0.0","0.0","0.0","1:00:04","0:00","0.0","0:00","No","03:16.24","6","0.0"
Running,2020-12-24 09:04:40,false,"Mt Pleasant Running","6.24","715","00:52:52","155","181","4.1","172","186","8:28","7:12","555","533","1.11","0.0","0.0","0.0","0.0","0.0","52:52","0:00","0.0","0:00","No","01:53.67","7","0.0"
Running,2020-12-22 12:56:59,false,"Mt Pleasant Running","5.61","672","00:48:10","158","176","4.3","170","214","8:35","7:11","524","524","1.11","0.0","0.0","0.0","0.0","0.0","48:10","0:00","0.0","0:00","No","05:49.73","6","0.0"
Running,2020-12-20 10:25:58,false,"Canaan Running","6.19","633","00:48:57","150","166","3.7","172","186","7:54","6:51","429","418","1.19","0.0","0.0","0.0","0.0","0.0","48:57","0:00","0.0","0:00","No","01:30.20","7","0.0"
Running,2020-12-18 15:52:08,false,"Mt Pleasant Running","3.23","536","00:41:54","152","180","3.7","144","214","12:57","8:33","392","386","0.86","0.0","0.0","0.0","0.0","0.0","41:54","0:00","0.0","0:00","No","02:54.34","4","0.0"
Running,2020-12-15 08:40:18,false,"Mt Pleasant Running","6.11","651","00:47:17","158","176","4.5","175","186","7:45","6:32","515","516","1.19","0.0","0.0","0.0","0.0","0.0","47:17","0:00","0.0","0:00","No","00:52.70","7","0.0"
Running,2020-12-13 10:01:14,false,"Mt Pleasant Running","5.05","622","00:46:11","157","184","4.2","171","241","9:08","7:16","591","590","1.03","0.0","0.0","0.0","0.0","0.0","46:11","0:00","0.0","0:00","No","00:30.59","6","0.0"
Running,2020-12-12 15:18:51,false,"Mt Pleasant Running","5.39","537","00:41:09","153","191","3.9","176","193","7:38","6:31","392","371","1.20","0.0","0.0","0.0","0.0","0.0","41:09","0:00","0.0","0:00","No","02:48.98","6","0.0"
Running,2020-12-08 12:32:24,false,"Mt Pleasant Running","4.21","477","00:33:54","163","180","4.3","175","192","8:03","6:14","563","591","1.14","0.0","0.0","0.0","0.0","0.0","33:54","0:00","0.0","0:00","No","00:14.62","7","0.0"
Running,2020-12-06 09:52:23,false,"Mt Pleasant Running","6.03","638","00:49:41","153","172","4.0","175","190","8:14","6:34","682","674","1.11","0.0","0.0","0.0","0.0","0.0","49:41","0:00","0.0","0:00","No","00:21.35","7","0.0"
Running,2020-12-05 13:41:31,false,"Mt Pleasant Running","7.01","860","01:05:32","158","183","4.9","169","240","9:21","6:17","866","870","1.02","0.0","0.0","0.0","0.0","0.0","1:05:32","0:00","0.0","0:00","No","00:15.46","8","0.0"
Running,2020-12-03 11:58:31,false,"Mt Pleasant Running","4.42","512","00:59:23","125","150","2.5","146","191","13:25","7:08","517","525","0.82","0.0","0.0","0.0","0.0","0.0","59:23","0:00","0.0","0:00","No","04:24.28","5","0.0"
Running,2020-12-02 09:08:10,false,"Mt Pleasant Running","8.06","796","01:02:34","159","182","5.0","176","199","7:46","6:25","828","816","1.18","0.0","0.0","0.0","0.0","0.0","1:02:34","0:00","0.0","0:00","No","00:32.17","9","0.0"
Running,2020-11-29 11:10:36,false,"Mt Pleasant Running","3.92","478","00:53:18","--","--","--","154","178","13:37","8:09","531","538","0.77","0.0","0.0","0.0","0.0","0.0","53:18","0:00","0.0","0:00","No","12:05.72","4","0.0"
Running,2020-11-28 16:01:11,false,"Mt Pleasant Running","10.01","1,355","01:21:54","--","--","--","174","190","8:11","6:39","957","953","1.13","0.0","0.0","0.0","0.0","0.0","1:21:54","0:00","0.0","0:00","No","00:08.95","11","0.0"
Running,2020-11-27 11:33:43,false,"Mt Pleasant Running","6.57","837","01:07:44","--","--","--","168","204","10:19","5:53","715","736","0.92","0.0","0.0","0.0","0.0","0.0","1:07:44","0:00","0.0","0:00","No","05:48.40","7","0.0"
